구분,순위,읍면동명,목적지명,도로명주소,카테고리
외지인,64,대천5동,보령사랑자동차극장,충남 보령시 대천항로 278-0,공연시설
외지인,64,대천5동,한성수산,충남 보령시 새마을1길 90-0,시장
외지인,64,대천5동,사랑수산,충남 보령시 대천항로 334-0,시장
외지인,64,대천5동,낚시쿤,충남 보령시 통나무마을1길 32-0,수상레저스포츠
전체,1,대천5동,대천해수욕장,충남 보령시,자연경관(하천/해양)
전체,2,대천5동,대천항,충남 보령시,자연경관(하천/해양)
전체,3,대천5동,대천역,충남 보령시 대해로 116-0,교통시설
전체,4,대천5동,대천항수산시장,충남 보령시 대천항로 334-0,시장
전체,5,대천5동,보령머드축제,충남 보령시 해수욕장10길 5-0,기타문화관광지
전체,6,대천5동,대천해수욕장스카이바이크,충남 보령시 해수욕장10길 75-0,기타레저스포츠
전체,7,대천5동,보령스포츠파크,충남 보령시 석서1길 30-0,도시공원
전체,8,대천5동,대천연안여객선터미널,충남 보령시 대천항중앙길 30-0,교통시설
전체,9,대천5동,보령머드테마파크머드관,충남 보령시 고잠2길 55-0,테마공원
전체,10,대천5동,호텔마스타대천워터파크,충남 보령시 대해로 876-0,테마공원
전체,11,대천5동,대천경찰수련원,충남 보령시 해수욕장2길 29-0,육상레저스포츠
전체,12,대천5동,짚트랙코리아,충남 보령시 해수욕장10길 79-0,기타레저스포츠
전체,13,대천5동,공주대대천수련원,충남 보령시 해수욕장10길 80-0,육상레저스포츠
전체,14,대천5동,보령해저터널홍보관,충남 보령시,전시시설
전체,15,대천5동,충청남도교육청해양수련원별관,충남 보령시 해수욕장10길 32-0,육상레저스포츠
전체,16,대천5동,충청남도교육청해양수련원,충남 보령시 대천항로 240-0,육상레저스포츠
전체,17,대천5동,충청북도해양교육원,충남 보령시 해수욕장13길 14-17,육상레저스포츠
전체,18,대천5동,군헌갯벌체험장,충남 보령시 해안로 607-5,기타레저스포츠
전체,19,대천5동,대전학생해양수련원,충남 보령시 머드로 188-0,육상레저스포츠
전체,20,대천5동,청주대학교수련원,충남 보령시 해수욕장10길 36-0,육상레저스포츠
전체,21,대천5동,상명수련원,충남 보령시 석서1길 59-0,육상레저스포츠
전체,22,대천5동,대천해수욕장수련원,충남 보령시 머드로 69-0,육상레저스포츠
전체,23,대천5동,보령머드테마파크컨벤션관,충남 보령시 고잠2길 55-0,테마공원
전체,24,대천5동,서울특별시교육청학생교육원대천임해교육원,충남 보령시 해수욕장3길 26-0,체험관광기타
전체,25,대천5동,배재대학교대천수련관,충남 보령시 해수욕장2길 13-0,육상레저스포츠
전체,26,대천5동,보령해수욕장관광특구,충남 보령시,기타관광
전체,27,대천5동,보령해양경찰서전용부두,충남 보령시 해안로 758-0,자연경관(하천/해양)
전체,28,대천5동,충남대학교임해수련원,충남 보령시 해수욕장3길 41-0,육상레저스포츠
전체,29,대천5동,왕대사,충남 보령시 절길 44-0,종교성지
전체,30,대천5동,대천랜드,충남 보령시 대천항로 131-0,테마공원
전체,31,대천5동,대천유람선터미널,충남 보령시 대천항중앙길 46-0,교통시설
전체,31,대천5동,우송수련원,충남 보령시 머드로 26-0,육상레저스포츠
전체,33,대천5동,국일수산어패류,충남 보령시 고잠2길 2-0,시장
전체,34,대천5동,대천어항,충남 보령시 대천항중앙길 17-0,시장
전체,35,대천5동,포세이돈워터뮤직페스티벌,충남 보령시,기타문화관광지
전체,36,대천5동,보령머드박물관,충남 보령시 대해로 897-15,전시시설
전체,37,대천5동,제우스피싱,충남 보령시 대천항로 328-0,수상레저스포츠
전체,38,대천5동,공룡의숲뮤지엄,충남 보령시 대해로 486-0,전시시설
전체,38,대천5동,대천항방파제,충남 보령시 대천항로 396-0,자연경관(하천/해양)
전체,40,대천5동,숲속애빛의정원,충남 보령시 통나무마을1길 80-0,농/산/어촌체험
전체,41,대천5동,대천해수욕장펫비치,충남 보령시 해수욕장10길 23-0,자연경관(하천/해양)
전체,42,대천5동,대천카트,충남 보령시,기타레저스포츠
전체,42,대천5동,대천전망대,충남 보령시 해수욕장10길 75-0,랜드마크관광
전체,44,대천5동,대신전복수산,충남 보령시 머드로 85-0,시장
전체,45,대천5동,까칠이피싱,충남 보령시 대해로 502-0,수상레저스포츠
전체,46,대천5동,대천해수욕장스케이트장,충남 보령시,육상레저스포츠
전체,46,대천5동,숲속애바다실내낚시터,충남 보령시 통나무마을1길 78-0,수상레저스포츠
전체,48,대천5동,형제수산,충남 보령시 머드로 40-0,시장
전체,49,대천5동,대천항하이피싱,충남 보령시 대천항로 330-0,수상레저스포츠
전체,49,대천5동,보령팜플러스,충남 보령시,농/산/어촌체험
전체,51,대천5동,갈매기공원,충남 보령시 해수욕장10길 23-0,도시공원
전체,51,대천5동,전국해양스포츠제전(대천해수욕장),충남 보령시 거북섬1길 4-0,기타문화관광지
전체,51,대천5동,대천바이크,충남 보령시 머드로 189-0,기타레저스포츠
전체,54,대천5동,송도수산,충남 보령시 새마을1길 38-13,시장
전체,55,대천5동,대천항낚시훈련소,충남 보령시 대천항로 246-0,수상레저스포츠
전체,55,대천5동,대천해수욕장관광안내센터,충남 보령시,기타관광
전체,57,대천5동,외연도방파제,충남 보령시,자연경관(하천/해양)
전체,58,대천5동,동삼수산,충남 보령시 대천항로 357-0,시장
전체,59,대천5동,권수산,충남 보령시 해수욕장6길 73-0,시장
전체,60,대천5동,서울과학기술대학교대천수련원,충남 보령시 해수욕장12길 17-0,육상레저스포츠
전체,61,대천5동,대천팀루피호,충남 보령시 대천항로 329-0,수상레저스포츠
전체,61,대천5동,별빛공원,충남 보령시 대천항중앙길 52-0,도시공원
전체,61,대천5동,섬의날,충남 보령시 해수욕장10길 5-0,기타문화관광지
전체,61,대천5동,명금해변,충남 보령시,자연경관(하천/해양)
전체,61,대천5동,보령사랑자동차극장,충남 보령시 대천항로 278-0,공연시설
전체,61,대천5동,한성수산,충남 보령시 새마을1길 90-0,시장
전체,67,대천5동,사랑수산,충남 보령시 대천항로 334-0,시장
전체,67,대천5동,낚시쿤,충남 보령시 통나무마을1길 32-0,수상레저스포츠
현지인,1,대천5동,대천해수욕장,충남 보령시,자연경관(하천/해양)
현지인,2,대천5동,대천역,충남 보령시 대해로 116-0,교통시설
현지인,3,대천5동,대천항,충남 보령시,자연경관(하천/해양)
현지인,4,대천5동,대천항수산시장,충남 보령시 대천항로 334-0,시장
현지인,5,대천5동,보령머드축제,충남 보령시 해수욕장10길 5-0,기타문화관광지
현지인,6,대천5동,대천해수욕장스카이바이크,충남 보령시 해수욕장10길 75-0,기타레저스포츠
현지인,7,대천5동,보령스포츠파크,충남 보령시 석서1길 30-0,도시공원
현지인,8,대천5동,대천연안여객선터미널,충남 보령시 대천항중앙길 30-0,교통시설
현지인,9,대천5동,보령머드테마파크머드관,충남 보령시 고잠2길 55-0,테마공원
현지인,10,대천5동,호텔마스타대천워터파크,충남 보령시 대해로 876-0,테마공원
현지인,11,대천5동,짚트랙코리아,충남 보령시 해수욕장10길 79-0,기타레저스포츠
현지인,12,대천5동,대천경찰수련원,충남 보령시 해수욕장2길 29-0,육상레저스포츠
현지인,13,대천5동,공주대대천수련원,충남 보령시 해수욕장10길 80-0,육상레저스포츠
현지인,13,대천5동,보령해저터널홍보관,충남 보령시,전시시설
현지인,15,대천5동,충청남도교육청해양수련원별관,충남 보령시 해수욕장10길 32-0,육상레저스포츠
현지인,15,대천5동,군헌갯벌체험장,충남 보령시 해안로 607-5,기타레저스포츠
현지인,17,대천5동,충청남도교육청해양수련원,충남 보령시 대천항로 240-0,육상레저스포츠
현지인,18,대천5동,충청북도해양교육원,충남 보령시 해수욕장13길 14-17,육상레저스포츠
현지인,19,대천5동,대전학생해양수련원,충남 보령시 머드로 188-0,육상레저스포츠
현지인,20,대천5동,대천해수욕장수련원,충남 보령시 머드로 69-0,육상레저스포츠
현지인,21,대천5동,상명수련원,충남 보령시 석서1길 59-0,육상레저스포츠
현지인,22,대천5동,청주대학교수련원,충남 보령시 해수욕장10길 36-0,육상레저스포츠
현지인,23,대천5동,보령해양경찰서전용부두,충남 보령시 해안로 758-0,자연경관(하천/해양)
현지인,24,대천5동,보령머드테마파크컨벤션관,충남 보령시 고잠2길 55-0,테마공원
현지인,25,대천5동,배재대학교대천수련관,충남 보령시 해수욕장2길 13-0,육상레저스포츠
현지인,26,대천5동,왕대사,충남 보령시 절길 44-0,종교성지
현지인,27,대천5동,서울특별시교육청학생교육원대천임해교육원,충남 보령시 해수욕장3길 26-0,체험관광기타
현지인,27,대천5동,대천랜드,충남 보령시 대천항로 131-0,테마공원
현지인,29,대천5동,국일수산어패류,충남 보령시 고잠2길 2-0,시장
현지인,30,대천5동,보령해수욕장관광특구,충남 보령시,기타관광
현지인,30,대천5동,충남대학교임해수련원,충남 보령시 해수욕장3길 41-0,육상레저스포츠
현지인,32,대천5동,대천유람선터미널,충남 보령시 대천항중앙길 46-0,교통시설
현지인,32,대천5동,우송수련원,충남 보령시 머드로 26-0,육상레저스포츠
현지인,34,대천5동,대천어항,충남 보령시 대천항중앙길 17-0,시장
현지인,35,대천5동,포세이돈워터뮤직페스티벌,충남 보령시,기타문화관광지
현지인,35,대천5동,보령머드박물관,충남 보령시 대해로 897-15,전시시설
현지인,37,대천5동,제우스피싱,충남 보령시 대천항로 328-0,수상레저스포츠
현지인,38,대천5동,대천항방파제,충남 보령시 대천항로 396-0,자연경관(하천/해양)
현지인,38,대천5동,숲속애빛의정원,충남 보령시 통나무마을1길 80-0,농/산/어촌체험
현지인,40,대천5동,공룡의숲뮤지엄,충남 보령시 대해로 486-0,전시시설
현지인,41,대천5동,대천해수욕장펫비치,충남 보령시 해수욕장10길 23-0,자연경관(하천/해양)
현지인,42,대천5동,대천전망대,충남 보령시 해수욕장10길 75-0,랜드마크관광
현지인,43,대천5동,대신전복수산,충남 보령시 머드로 85-0,시장
현지인,44,대천5동,대천카트,충남 보령시,기타레저스포츠
현지인,45,대천5동,형제수산,충남 보령시 머드로 40-0,시장
현지인,46,대천5동,숲속애바다실내낚시터,충남 보령시 통나무마을1길 78-0,수상레저스포츠
현지인,46,대천5동,대천바이크,충남 보령시 머드로 189-0,기타레저스포츠
현지인,48,대천5동,송도수산,충남 보령시 새마을1길 38-13,시장
현지인,49,대천5동,까칠이피싱,충남 보령시 대해로 502-0,수상레저스포츠
현지인,49,대천5동,보령팜플러스,충남 보령시,농/산/어촌체험
현지인,49,대천5동,전국해양스포츠제전(대천해수욕장),충남 보령시 거북섬1길 4-0,기타문화관광지
현지인,52,대천5동,대천해수욕장스케이트장,충남 보령시,육상레저스포츠
현지인,52,대천5동,대천항하이피싱,충남 보령시 대천항로 330-0,수상레저스포츠
현지인,52,대천5동,갈매기공원,충남 보령시 해수욕장10길 23-0,도시공원
현지인,52,대천5동,대천해수욕장관광안내센터,충남 보령시,기타관광
현지인,52,대천5동,외연도방파제,충남 보령시,자연경관(하천/해양)
현지인,52,대천5동,서울과학기술대학교대천수련원,충남 보령시 해수욕장12길 17-0,육상레저스포츠
현지인,58,대천5동,대천항낚시훈련소,충남 보령시 대천항로 246-0,수상레저스포츠
현지인,58,대천5동,동삼수산,충남 보령시 대천항로 357-0,시장
현지인,58,대천5동,권수산,충남 보령시 해수욕장6길 73-0,시장
현지인,58,대천5동,보령사랑자동차극장,충남 보령시 대천항로 278-0,공연시설
현지인,58,대천5동,한성수산,충남 보령시 새마을1길 90-0,시장
현지인,63,대천5동,대천팀루피호,충남 보령시 대천항로 329-0,수상레저스포츠
현지인,63,대천5동,별빛공원,충남 보령시 대천항중앙길 52-0,도시공원
현지인,63,대천5동,섬의날,충남 보령시 해수욕장10길 5-0,기타문화관광지
현지인,63,대천5동,명금해변,충남 보령시,자연경관(하천/해양)
현지인,63,대천5동,사랑수산,충남 보령시 대천항로 334-0,시장
현지인,63,대천5동,낚시쿤,충남 보령시 통나무마을1길 32-0,수상레저스포츠
