구분,순위,읍면동명,목적지명,도로명주소,카테고리
전체,30,논현고잔동,유수지,인천 남동구,자연경관(하천/해양)
전체,32,논현고잔동,복지근린공원,인천 남동구 남동동로 96-0,도시공원
전체,33,논현고잔동,해오름호수,인천 남동구,자연경관(하천/해양)
현지인,1,논현고잔동,청년미디어타워,인천 남동구 논현고잔로 173-0,기타문화관광지
현지인,2,논현고잔동,늘솔길공원양떼목장,인천 남동구 앵고개로 783-0,농/산/어촌체험
현지인,3,논현고잔동,소래포구축제,인천 남동구,기타문화관광지
현지인,4,논현고잔동,남동소래아트홀,인천 남동구 아암대로1437번길 32-0,공연시설
현지인,5,논현고잔동,메가박스인천논현,인천 남동구 논고개로 61-0,공연시설
현지인,6,논현고잔동,뉴코아아울렛인천논현점,인천 남동구 청능대로 596-0,대형마트
현지인,7,논현고잔동,늘솔길공원축구장,인천 남동구 앵고개로 783-0,레저스포츠시설
현지인,8,논현고잔동,늘솔길공원,인천 남동구 앵고개로 783-0,도시공원
현지인,9,논현고잔동,새우타워,인천 남동구 아암대로 1550-0,랜드마크관광
현지인,10,논현고잔동,해오름공원,인천 남동구,도시공원
현지인,11,논현고잔동,코아코아아울렛,인천 남동구 고잔로41번길 46-0,쇼핑몰
현지인,12,논현고잔동,마샘소래본점,인천 남동구 소래역남로 40-0,기타문화관광지
현지인,13,논현고잔동,골든에잇배팅센터,인천 남동구 논현고잔로54번길 15-17,기타레저스포츠
현지인,14,논현고잔동,엄정욱베이스볼아카데미,인천 남동구 앵고개로697번길 93-0,기타레저스포츠
현지인,15,논현고잔동,논현포대근린공원,인천 남동구,도시공원
현지인,15,논현고잔동,월례공원,인천 남동구,도시공원
현지인,17,논현고잔동,플라이하이,인천 남동구 논고개로 85-0,테마공원
현지인,17,논현고잔동,블루마린어린이수영장소래포구점,인천 남동구 소래역남로16번길 75-0,테마공원
현지인,19,논현고잔동,소래해넘이전망대,인천 남동구 아암대로 1454-0,랜드마크관광
현지인,20,논현고잔동,위너스테니스아카데미,인천 남동구 소래역남로 10-0,기타레저스포츠
현지인,20,논현고잔동,점핑파크인천논현점,인천 남동구 논고개로 73-0,테마공원
현지인,22,논현고잔동,한화기념관,인천 남동구 논현고잔로168번길 45-0,전시시설
현지인,22,논현고잔동,유수지근린공원,인천 남동구 능허대로625번길 93-0,도시공원
현지인,22,논현고잔동,소래길쇼핑몰,인천 남동구 소래역남로16번길 75-0,쇼핑몰
현지인,25,논현고잔동,해오름호수공원,인천 남동구,도시공원
현지인,25,논현고잔동,마더스룸키즈카페,인천 남동구 소래역남로16번길 75-0,테마공원
현지인,27,논현고잔동,한아름근린공원,인천 남동구 에코중앙로 207-0,도시공원
현지인,27,논현고잔동,송도해안도로,인천 남동구,데이트코스
현지인,27,논현고잔동,유수지,인천 남동구,자연경관(하천/해양)
현지인,30,논현고잔동,현베이스볼,인천 남동구 청능대로 548-0,기타레저스포츠
현지인,30,논현고잔동,저어새생태학습관,인천 남동구 능허대로 562-0,전시시설
현지인,32,논현고잔동,해오름호수,인천 남동구,자연경관(하천/해양)
현지인,32,논현고잔동,복지근린공원,인천 남동구 남동동로 96-0,도시공원
