구분,순위,읍면동명,목적지명,도로명주소,카테고리
전체,27,충장동,펀노리터광주점,광주 동구 동계천로 26-0,테마공원
전체,27,충장동,무등갤러리,광주 동구 예술길 18-1,전시시설
전체,29,충장동,한미쇼핑,광주 동구 제봉로 180-0,쇼핑몰
전체,30,충장동,광주디엠홀,광주 동구 중앙로148번길 11-27,공연시설
전체,31,충장동,웨딩의거리,광주 동구,테마공원
전체,32,충장동,광주시립미술관분관,광주 동구 금남로 231-0,전시시설
전체,33,충장동,한국예술종합교육원,광주 동구 서석로 89-0,체험관광기타
전체,34,충장동,은암미술관,광주 동구 서석로85번길 8-12,전시시설
전체,34,충장동,예술극장통,광주 동구 중앙로 149-2,공연시설
전체,36,충장동,국립아시아문화전당아시아문화박물관,광주 동구 문화전당로 38-0,전시시설
전체,37,충장동,궁동예술극장,광주 동구 예술길 18-1,공연시설
전체,37,충장동,국립아시아문화전당분수대,광주 동구 서석로 지하 56-0,기타관광
전체,37,충장동,대인예술시장,광주 동구 제봉로194번길 10-0,시장
전체,40,충장동,붕어의신낚시카페광주점,광주 동구 중앙로 157-0,수상레저스포츠
전체,40,충장동,예술이빽그라운드,광주 동구 구성로204번길 1-1,기타문화관광지
전체,40,충장동,씨어터연바람,광주 동구 구성로204번길 1-1,공연시설
전체,43,충장동,향담갤러리,광주 동구 예술길 2-1,전시시설
전체,43,충장동,충장로혼수의거리,광주 동구,기타쇼핑시설
전체,43,충장동,뉴스뮤지엄ACC점,광주 동구 문화전당로 38-0,전시시설
전체,43,충장동,관선재,광주 동구 중앙로196번길 15-33,전시시설
현지인,1,충장동,롯데백화점광주점,광주 동구 독립로 268-0,백화점
현지인,2,충장동,국립아시아문화전당,광주 동구 문화전당로 38-0,전시시설
현지인,3,충장동,NC웨이브충장점,광주 동구 중앙로 163-0,백화점
현지인,4,충장동,대인시장,광주 동구 제봉로194번길 9-0,시장
현지인,5,충장동,전일빌딩245,광주 동구 금남로 245-0,기타문화관광지
현지인,6,충장동,CGV광주금남로,광주 동구 중앙로160번길 16-7,공연시설
현지인,7,충장동,금남로공원,광주 동구,도시공원
현지인,8,충장동,충장로,광주 동구 충장로 70-1,테마공원
현지인,9,충장동,충장로상점가,광주 동구 충장로 50-3,시장
현지인,10,충장동,추억의충장축제,광주 동구 서석로 지하 56-0,기타문화관광지
현지인,11,충장동,국립아시아문화전당하늘마당,광주 동구,기타문화관광지
현지인,12,충장동,CGV광주충장로,광주 동구 중앙로 163-0,공연시설
현지인,13,충장동,충장22,광주 동구 충장로22번길 2-0,기타문화관광지
현지인,14,충장동,롯데시네마충장로,광주 동구 충장로안길 12-0,공연시설
현지인,15,충장동,미로센터,광주 동구 중앙로196번길 15-12,기타문화관광지
현지인,16,충장동,5.18민주화운동기록관,광주 동구 금남로 221-0,전시시설
현지인,17,충장동,광주극장,광주 동구 충장로46번길 10-0,공연시설
현지인,18,충장동,롯데시네마광주,광주 동구 독립로 268-0,공연시설
현지인,19,충장동,헬로애니멀광주점,광주 동구 충장로 90-0,테마공원
현지인,19,충장동,예술의거리,광주 동구,기타쇼핑시설
현지인,21,충장동,원각사,광주 동구 중앙로 197-0,종교성지
현지인,21,충장동,바위클라이밍센터,광주 동구 예술길 31-15,기타레저스포츠
현지인,23,충장동,예술공간집,광주 동구 제봉로158번길 11-5,전시시설
현지인,23,충장동,국립아시아문화전당민주평화교류원,광주 동구 문화전당로 38-0,전시시설
현지인,25,충장동,비움박물관,광주 동구 제봉로 143-1,전시시설
현지인,26,충장동,충금지하상가,광주 동구 금남로 0-0,시장
현지인,27,충장동,한미쇼핑,광주 동구 제봉로 180-0,쇼핑몰
현지인,28,충장동,펀노리터광주점,광주 동구 동계천로 26-0,테마공원
현지인,28,충장동,무등갤러리,광주 동구 예술길 18-1,전시시설
현지인,28,충장동,광주디엠홀,광주 동구 중앙로148번길 11-27,공연시설
현지인,31,충장동,웨딩의거리,광주 동구,테마공원
현지인,31,충장동,광주시립미술관분관,광주 동구 금남로 231-0,전시시설
현지인,33,충장동,한국예술종합교육원,광주 동구 서석로 89-0,체험관광기타
현지인,33,충장동,은암미술관,광주 동구 서석로85번길 8-12,전시시설
현지인,33,충장동,예술극장통,광주 동구 중앙로 149-2,공연시설
현지인,33,충장동,국립아시아문화전당아시아문화박물관,광주 동구 문화전당로 38-0,전시시설
현지인,33,충장동,국립아시아문화전당분수대,광주 동구 서석로 지하 56-0,기타관광
현지인,33,충장동,대인예술시장,광주 동구 제봉로194번길 10-0,시장
현지인,33,충장동,예술이빽그라운드,광주 동구 구성로204번길 1-1,기타문화관광지
현지인,33,충장동,씨어터연바람,광주 동구 구성로204번길 1-1,공연시설
현지인,41,충장동,궁동예술극장,광주 동구 예술길 18-1,공연시설
현지인,41,충장동,붕어의신낚시카페광주점,광주 동구 중앙로 157-0,수상레저스포츠
현지인,41,충장동,향담갤러리,광주 동구 예술길 2-1,전시시설
현지인,41,충장동,충장로혼수의거리,광주 동구,기타쇼핑시설
현지인,41,충장동,뉴스뮤지엄ACC점,광주 동구 문화전당로 38-0,전시시설
현지인,41,충장동,관선재,광주 동구 중앙로196번길 15-33,전시시설
