구분,순위,읍면동명,목적지명,도로명주소,카테고리
전체,42,담양읍,영산강,전남 담양군 객사3길 0-0,기타관광
전체,43,담양읍,플라타너스별빛달빛길,전남 담양군,기타관광
전체,44,담양읍,아트센터대담,전남 담양군 언골길 5-4,전시시설
전체,44,담양읍,담양오방길누정길,전남 담양군,기타레저스포츠
전체,46,담양읍,담빛마술극장,전남 담양군 메타프로방스1길 53-1,공연시설
전체,46,담양읍,남촌미술관,전남 담양군 죽향대로 1290-0,전시시설
전체,48,담양읍,담주다미담예술구,전남 담양군 중앙로 111-1,테마공원
전체,48,담양읍,호호펀키즈,전남 담양군 깊은실길 25-0,테마공원
전체,48,담양읍,자연애농원,전남 담양군 학동길 18-6,농/산/어촌체험
전체,48,담양읍,궁전온천,전남 담양군 객사2길 11-5,웰니스관광
전체,48,담양읍,메타세콰이아길자전거길인증센터,전남 담양군 메타세쿼이아로 177-0,기타레저스포츠
현지인,1,담양읍,죽녹원,전남 담양군 죽녹원로 119-0,자연공원
현지인,2,담양읍,메타프로방스,전남 담양군 메타프로방스1길 17-0,복합관광시설
현지인,3,담양읍,담양대나무축제,전남 담양군 죽녹원로 119-0,기타문화관광지
현지인,4,담양읍,메타세쿼이아가로수길,전남 담양군,기타관광
현지인,5,담양읍,담양관방제림,전남 담양군,역사유적지
현지인,6,담양읍,담양공용버스터미널,전남 담양군 중앙로 24-1,교통시설
현지인,7,담양읍,담양레이나CC,전남 담양군 깊은실길 169-0,육상레저스포츠
현지인,8,담양읍,한국대나무박물관,전남 담양군 죽향문화로 35-0,전시시설
현지인,9,담양읍,담양곤충박물관,전남 담양군 담양88로 428-0,전시시설
현지인,10,담양읍,메타세쿼이아랜드어린이프로방스,전남 담양군 담양88로 428-0,기타관광
현지인,11,담양읍,담빛예술창고,전남 담양군 객사7길 77-0,기타문화관광지
현지인,12,담양읍,담양임시시장,전남 담양군 담주4길 40-0,시장
현지인,13,담양읍,담양시장,전남 담양군 담주4길 40-0,시장
현지인,14,담양읍,담양파크골프장,전남 담양군,육상레저스포츠
현지인,15,담양읍,소아르떼,전남 담양군 깊은실길 84-73,기타문화관광지
현지인,15,담양읍,해동문화예술촌,전남 담양군 지침1길 6-0,기타문화관광지
현지인,17,담양읍,플레이펫,전남 담양군 메타프로방스4길 9-0,테마공원
현지인,18,담양읍,용화사,전남 담양군 남촌길 77-0,종교성지
현지인,18,담양읍,담양가축시장,전남 담양군 담장로 49-0,시장
현지인,20,담양읍,소아르떼미디어센터,전남 담양군 깊은실길 84-73,기타문화관광지
현지인,21,담양읍,개구리생태공원,전남 담양군 메타세쿼이아로 47-0,도시공원
현지인,22,담양읍,관음사,전남 담양군 깊은실길 35-0,종교성지
현지인,22,담양읍,담빛시네마,전남 담양군 지침6길 29-0,공연시설
현지인,22,담양읍,가산골프랜드,전남 담양군 가산길 330-19,육상레저스포츠
현지인,22,담양읍,담양관광정보센터,전남 담양군 죽녹원로 130-0,기타관광
현지인,26,담양읍,담양오랑쥬마을,전남 담양군 메타세쿼이아로 146-0,테마공원
현지인,26,담양읍,담빛야외음악공원,전남 담양군 관방제림길 69-0,도시공원
현지인,28,담양읍,정토사,전남 담양군 깊은실길 112-0,종교성지
현지인,28,담양읍,우송사,전남 담양군 추성로 1257-1,종교성지
현지인,30,담양읍,추성창의기념관,전남 담양군 죽향문화로 380-0,전시시설
현지인,30,담양읍,테테루테마파크,전남 담양군 메타세쿼이아로 146-0,테마공원
현지인,32,담양읍,호남기후변화체험관,전남 담양군 메타세쿼이아로 45-0,전시시설
현지인,32,담양읍,호국사,전남 담양군 완동길 10-15,종교성지
현지인,32,담양읍,백진공원,전남 담양군,도시공원
현지인,32,담양읍,담빛영화관,전남 담양군 지침6길 29-0,공연시설
현지인,36,담양읍,가로수길농원,전남 담양군 메타세쿼이아로 0-0,농/산/어촌체험
현지인,37,담양읍,담양천변오일장,전남 담양군,시장
현지인,37,담양읍,담빛역사관광체험관,전남 담양군 객사7길 77-0,전시시설
현지인,37,담양읍,총무정,전남 담양군 객사7길 37-0,육상레저스포츠
현지인,40,담양읍,담양LP음악충전소,전남 담양군 중앙로 83-0,기타문화관광지
현지인,40,담양읍,영산강,전남 담양군 객사3길 0-0,기타관광
현지인,40,담양읍,담빛마술극장,전남 담양군 메타프로방스1길 53-1,공연시설
현지인,40,담양읍,남촌미술관,전남 담양군 죽향대로 1290-0,전시시설
현지인,44,담양읍,마하무량사,전남 담양군 남촌길 21-121,종교성지
현지인,44,담양읍,플라타너스별빛달빛길,전남 담양군,기타관광
현지인,44,담양읍,아트센터대담,전남 담양군 언골길 5-4,전시시설
현지인,44,담양읍,담양오방길누정길,전남 담양군,기타레저스포츠
현지인,44,담양읍,담주다미담예술구,전남 담양군 중앙로 111-1,테마공원
현지인,44,담양읍,호호펀키즈,전남 담양군 깊은실길 25-0,테마공원
현지인,44,담양읍,자연애농원,전남 담양군 학동길 18-6,농/산/어촌체험
현지인,44,담양읍,궁전온천,전남 담양군 객사2길 11-5,웰니스관광
현지인,44,담양읍,메타세콰이아길자전거길인증센터,전남 담양군 메타세쿼이아로 177-0,기타레저스포츠
