구분,순위,읍면동명,목적지명,도로명주소,카테고리
전체,33,문경읍,중평교회,경북 문경시 중평큰마길 9-5,종교성지
전체,34,문경읍,영남요,경북 문경시 새재로 579-0,기타관광
전체,35,문경읍,오미자체험전시관,경북 문경시 새재로 715-0,전시시설
전체,36,문경읍,관음사,경북 문경시 관음6길 30-0,종교성지
전체,37,문경읍,문경시인공암벽,경북 문경시,기타레저스포츠
전체,37,문경읍,성불암,경북 문경시 주흘2길 269-0,종교성지
전체,39,문경읍,여우목고개,경북 문경시,자연경관(산)
전체,39,문경읍,철로자전거문경역,경북 문경시 새재로 407-0,기타레저스포츠
현지인,1,문경읍,문경새재,경북 문경시 새재로 932-0,역사유적지
현지인,2,문경읍,문경종합온천,경북 문경시 온천2길 24-0,웰니스관광
현지인,3,문경읍,문경시외버스터미널,경북 문경시 새재로 458-0,교통시설
현지인,4,문경읍,문경찻사발축제,경북 문경시 새재로 933-0,기타문화관광지
현지인,5,문경읍,봉명산출렁다리,경북 문경시,기타관광
현지인,6,문경읍,문경역,경북 문경시 오서길 7-0,교통시설
현지인,7,문경읍,문경새재오픈세트장,경북 문경시,기타문화관광지
현지인,8,문경읍,문경전통시장,경북 문경시 문희로 41-15,시장
현지인,9,문경읍,문경도자기박물관,경북 문경시 문경대로 2416-0,전시시설
현지인,10,문경읍,문경활공랜드 패러글라이딩,경북 문경시 활공장길 80-0,항공레저스포츠
현지인,11,문경읍,문경자연생태박물관,경북 문경시 새재1길 45-0,전시시설
현지인,12,문경읍,문경새재야외공연장,경북 문경시 새재로 933-0,공연시설
현지인,13,문경읍,문경새재제1관문주흘관,경북 문경시,역사유적지
현지인,14,문경읍,문경단산관광모노레일,경북 문경시 활공장길 556-0,기타관광
현지인,15,문경읍,하늘재,경북 문경시,기타관광
현지인,16,문경읍,문경오미자테마공원,경북 문경시 새재로 715-0,도시공원
현지인,17,문경읍,포암사,경북 문경시 관음길 462-20,종교성지
현지인,18,문경읍,마원성지,경북 문경시 오서길 73-0,역사유적지
현지인,19,문경읍,문경새재어드벤처파크,경북 문경시 새재1길 45-0,기타레저스포츠
현지인,20,문경읍,문경생태미로공원,경북 문경시,도시공원
현지인,20,문경읍,문경온천족욕장,경북 문경시,기타레저스포츠
현지인,22,문경읍,옛길박물관,경북 문경시 새재로 944-0,전시시설
현지인,23,문경읍,보현정사,경북 문경시 각서윗길 45-0,종교성지
현지인,24,문경읍,월복사,경북 문경시 요성지곡길 286-0,종교성지
현지인,24,문경읍,문경새재1관문,경북 문경시 새재로 0-0,기타관광
현지인,26,문경읍,문경카트월드,경북 문경시 새재1길 36-0,기타레저스포츠
현지인,26,문경읍,관음정사,경북 문경시 관음5길 64-18,종교성지
현지인,28,문경읍,대조영촬영지문경세트장,경북 문경시 새재로 932-0,기타문화관광지
현지인,29,문경읍,청운각,경북 문경시 청운로 35-0,역사유적지
